
==========================================================================================
Statistic                     N        Mean       St. Dev.        Min            Max      
DOM                         22,993    42.304        56.564           0            1,402     
livSQFT                     22,993   1,864.955      899.864         220           17,408    
SQFTGarageCarport           22,993    329.726       232.758          0            5,000     
real.list.price             22,993 1,265,700.000 1,031,113.000  168,375.100   23,293,838.000
real.close.price            22,993 1,252,197.000  958,546.000   180,401.900   22,166,108.000
diff.price                  22,993  10,872.100    121,175.900  -2,010,000.000 6,900,000.000 
Basement                    22,993     0.026         0.159           0              1       
Split                       22,993     0.045         0.207           0              1       
PUD                         22,993     0.009         0.094           0              1       
LowRise                     22,993     0.000         0.000           0              0       
HighRise                    22,993     0.000         0.000           0              0       
Townhouse                   22,993     0.000         0.000           0              0       
Condotel                    22,993     0.000         0.000           0              0       
SingleFam                   22,993     0.918         0.275           0              1       
Duplex                      22,993     0.019         0.136           0              1       
MultiDwell                  22,993     0.039         0.193           0              1       
WalkUP                      22,993     0.000         0.000           0              0       
pool                        22,993     1.000         0.000           1              1       
Age                         22,993    38.705        23.162           0             123      
Age2                        22,993     2.035         1.988         0.000          15.129    
Age.r                       22,993     4.940        12.604           0              94      
SqftTotal                   22,993   2,081.457     1,097.371        220           23,350    
par_area                    22,993     0.961         3.582         0.021         128.918    
beach                       22,993     2.496         2.579         0.000          13.552    
park                        22,993     0.529         0.328         0.000          3.560     
hospital                    22,993     5.264         4.234         0.010          20.997    
airport                     22,993    10.819         5.596         1.274          30.986    
elem_sch                    22,993     1.056         0.823         0.016          7.453     
mid_sch                     22,993     2.487         1.817         0.037          17.684    
high_sch                    22,993     2.584         1.728         0.037          17.684    
per_white                   22,993     0.210         0.158         0.000          0.850     
per_black                   22,993     0.020         0.034         0.000          0.261     
per_asian                   22,993     0.416         0.199         0.000          0.957     
per_hawaian                 22,993     0.084         0.116         0.000          0.695     
per_occupied                22,993     0.937         0.087         0.0004         1.000     
per_vacant                  22,993     0.062         0.082         0.000          0.699     
per_owner                   22,993     0.766         0.168         0.000          1.000     
per_renter                  22,993     0.232         0.167         0.000          1.000     
HOA                         22,993    24.797        52.402           0             667      
Elevator                    22,993     0.021         0.144           0              1       
remod                       22,993     0.440         0.496           0              1       
lat                         22,993 2,363,460.000   7,868.625   2,350,907.000  2,399,920.000 
lon                         22,993  610,974.400   14,875.090    579,824.200    638,667.700  
PropertyTypeCondo_Townhouse 22,993     0.000         0.000           0              0       
PropertyTypeSingle Family   22,993     1.000         0.000           1              1       
StoriesOne                  22,993     0.436         0.496           0              1       
StoriesTwo                  22,993     0.512         0.500           0              1       
StoriesMulti                22,993     0.052         0.221           0              1       
year                        22,993   2,019.038       2.007         2,016          2,023     
LUCResidential              22,993     0.872         0.334           0              1       
LUCAgriculture              22,993     0.017         0.129           0              1       
LUCApartment-HD             22,993    0.0001         0.011           0              1       
LUCApartment-LD             22,993     0.078         0.269           0              1       
LUCApartment-MD             22,993     0.018         0.133           0              1       
LUCBusiness                 22,993    0.0004         0.021           0              1       
LUCOther                    22,993     0.014         0.117           0              1       
LUCResort                   22,993    0.0001         0.011           0              1       
condAverage                 22,993     0.215         0.411           0              1       
condExcellent               22,993     0.302         0.459           0              1       
condAbove Average           22,993     0.409         0.492           0              1       
condFair                    22,993     0.074         0.261           0              1       
Parking0                    22,993     0.004         0.064           0              1       
Parking1                    22,993     0.032         0.176           0              1       
Parking2                    22,993     0.510         0.500           0              1       
Parking3                    22,993     0.122         0.328           0              1       
Parking4                    22,993     0.252         0.434           0              1       
Parking5 or More            22,993     0.079         0.270           0              1       
fld_zoneAE                  22,993     0.032         0.177           0              1       
fld_zoneA                   22,993    0.0003         0.017           0              1       
fld_zoneAH                  22,993     0.003         0.058           0              1       
fld_zoneAO                  22,993     0.004         0.061           0              1       
fld_zoneD                   22,993     0.549         0.498           0              1       
fld_zoneVE                  22,993     0.008         0.087           0              1       
fld_zoneX                   22,993     0.404         0.491           0              1       
--------------------------------------------------------------------------------------------
