
==========================================================================================
Statistic                     N        Mean       St. Dev.        Min            Max      
LUCBusiness                 23,513     0.070        0.255          0             1       
LUCOther                    23,513     0.210        0.407          0             1       
LUCResort                   23,513     0.058        0.234          0             1       
condAverage                 23,513     0.183        0.387          0             1       
condExcellent               23,513     0.363        0.481          0             1       
condAbove Average           23,513     0.425        0.494          0             1       
condFair                    23,513     0.028        0.166          0             1       
Parking0                    23,513     0.103        0.303          0             1       
Parking1                    23,513     0.456        0.498          0             1       
Parking2                    23,513     0.424        0.494          0             1       
Parking3                    23,513     0.009        0.094          0             1       
Parking4                    23,513     0.008        0.089          0             1       
Parking5 or More            23,513     0.001        0.035          0             1       
fld_zoneAE                  23,513     0.212        0.409          0             1       
fld_zoneA                   23,513     0.011        0.104          0             1       
fld_zoneAH                  23,513     0.001        0.024          0             1       
fld_zoneAO                  23,513     0.075        0.264          0             1       
fld_zoneD                   23,513     0.285        0.452          0             1       
fld_zoneVE                  23,513     0.008        0.090          0             1       
fld_zoneX                   23,513     0.407        0.491          0             1       
-----------------------------------------------------------------------------------------

============================================================================================
Statistic                     N        Mean        St. Dev.         Min            Max      
--------------------------------------------------------------------------------------------
num_sale                    19,906     1.169         0.412           1              4       
Covid                       19,906     0.374         0.484           0              1       
Covid2                      19,906     0.327         0.469           0              1       
Cases                       7,447     287.460       542.765          0            4,021     
BathsFull                   19,906     2.388         0.979           0              17      
BathsHalf                   19,906     0.385         0.525           0              5       
BedsTotal                   19,906     3.802         1.269           0              25      
DOM                         19,906    44.585        58.280           0            1,402     
livSQFT                     19,906   1,875.224      911.373         220           17,408    
SQFTGarageCarport           19,906    331.615       233.677          0            5,000     
real.list.price             19,906 1,266,487.000 1,040,810.000  168,375.100   23,293,838.000
real.close.price            19,906 1,250,026.000  961,708.600   180,401.900   22,166,108.000
diff.price                  19,906  13,408.780    126,229.100  -2,010,000.000 6,900,000.000 
Basement                    19,906     0.027         0.163           0              1       
Split                       19,906     0.046         0.209           0              1       
PUD                         19,906     0.008         0.092           0              1       
LowRise                     19,906     0.000         0.000           0              0       
HighRise                    19,906     0.000         0.000           0              0       
Townhouse                   19,906     0.000         0.000           0              0       
Condotel                    19,906     0.000         0.000           0              0       
SingleFam                   19,906     0.921         0.270           0              1       
Duplex                      19,906     0.019         0.136           0              1       
MultiDwell                  19,906     0.040         0.197           0              1       
WalkUP                      19,906     0.000         0.000           0              0       
pool                        19,906     1.000         0.000           1              1       
Age                         19,906    39.516        23.125           0             123      
Age2                        19,906     2.096         1.991         0.000          15.129    
Age.r                       19,906     5.301        13.151           0              94      
SqftTotal                   19,906   2,096.315     1,112.597        220           23,350    
par_area                    19,906     0.888         3.530         0.021         128.918    
beach                       19,906     2.528         2.610         0.000          13.552    
park                        19,906     0.527         0.330         0.000          3.560     
hospital                    19,906     5.151         4.184         0.010          20.997    
airport                     19,906    10.900         5.594         1.274          30.986    
elem_sch                    19,906     1.042         0.810         0.016          7.453     
mid_sch                     19,906     2.481         1.822         0.037          17.684    
high_sch                    19,906     2.568         1.736         0.037          17.684    
per_white                   19,906     0.208         0.159         0.000          0.850     
per_black                   19,906     0.019         0.033         0.000          0.261     
per_asian                   19,906     0.422         0.200         0.000          0.957     
per_hawaian                 19,906     0.083         0.114         0.000          0.695     
per_occupied                19,906     0.936         0.087         0.0004         1.000     
per_vacant                  19,906     0.063         0.083         0.000          0.699     
per_owner                   19,906     0.765         0.169         0.000          1.000     
per_renter                  19,906     0.233         0.168         0.000          1.000     
HOA                         19,906    23.167        51.182           0             667      
Elevator                    19,906     0.018         0.135           0              1       
remod                       19,906     0.426         0.494           0              1       
lat                         19,906 2,363,532.000   7,931.562   2,350,907.000  2,399,920.000 
lon                         19,906  611,466.000   14,767.200    579,824.200    638,667.700  
PropertyTypeCondo_Townhouse 19,906     0.000         0.000           0              0       
PropertyTypeSingle Family   19,906     1.000         0.000           1              1       
StoriesOne                  19,906     0.450         0.498           0              1       
StoriesTwo                  19,906     0.497         0.500           0              1       
StoriesMulti                19,906     0.053         0.223           0              1       
year                        19,906   2,018.820       2.000         2,016          2,023     
LUCResidential              19,906     0.881         0.324           0              1       
LUCAgriculture              19,906     0.017         0.130           0              1       
LUCApartment-HD             19,906    0.0002         0.012           0              1       
LUCApartment-LD             19,906     0.070         0.255           0              1       
LUCApartment-MD             19,906     0.018         0.131           0              1       
LUCBusiness                 19,906     0.001         0.022           0              1       
LUCOther                    19,906     0.014         0.118           0              1       
LUCResort                   19,906    0.0002         0.012           0              1       
condAverage                 19,906     0.233         0.423           0              1       
condExcellent               19,906     0.287         0.453           0              1       
condAbove Average           19,906     0.395         0.489           0              1       
condFair                    19,906     0.084         0.277           0              1       
Parking0                    19,906     0.004         0.066           0              1       
Parking1                    19,906     0.034         0.181           0              1       
Parking2                    19,906     0.515         0.500           0              1       
Parking3                    19,906     0.120         0.325           0              1       
Parking4                    19,906     0.246         0.431           0              1       
Parking5 or More            19,906     0.080         0.271           0              1       
fld_zoneAE                  19,906     0.033         0.178           0              1       
fld_zoneA                   19,906    0.0004         0.019           0              1       
fld_zoneAH                  19,906     0.003         0.056           0              1       
fld_zoneAO                  19,906     0.004         0.062           0              1       
fld_zoneD                   19,906     0.538         0.499           0              1       
fld_zoneVE                  19,906     0.008         0.087           0              1       
fld_zoneX                   19,906     0.415         0.493           0              1       
--------------------------------------------------------------------------------------------
