
==========================================================================================
Statistic                     N        Mean       St. Dev.        Min            Max      
Cases                       20,579    306.831      563.335         0            4,021     
BathsFull                   20,579     1.929        0.930          0              15      
BathsHalf                   20,579     0.270        0.470          0              5       
BedsTotal                   20,579     2.739        1.518          0              25      
DOM                         20,579    35.034       57.258          0             946      
livSQFT                     20,579   1,346.120     869.663        120           16,703    
SQFTGarageCarport           20,579    167.212      230.147         0            3,200     
real.list.price             20,579  989,764.100  929,359.400   85,418.510   22,166,108.000
real.close.price            20,579  988,326.700  880,237.200   85,418.510   22,166,108.000
diff.price                  20,579   1,044.130   111,329.400 -2,010,000.000 6,900,000.000 
Basement                    20,579     0.014        0.119          0              1       
Split                       20,579     0.036        0.185          0              1       
PUD                         20,579     0.007        0.083          0              1       
LowRise                     20,579     0.087        0.282          0              1       
HighRise                    20,579     0.295        0.456          0              1       
Townhouse                   20,579     0.165        0.371          0              1       
Condotel                    20,579     0.035        0.183          0              1       
SingleFam                   20,579     0.419        0.493          0              1       
Duplex                      20,579     0.008        0.091          0              1       
MultiDwell                  20,579     0.021        0.144          0              1       
WalkUP                      20,579     0.043        0.202          0              1       
pool                        20,579     0.454        0.498          0              1       
Age                         20,579    39.166       19.878          0             123      
Age2                        20,579     1.929        1.646        0.000          15.129    
Age.r                       20,579     3.339        9.671          0              94      
SqftTotal                   20,579   1,492.760    1,026.380       175           18,919    
par_area                    20,579     3.121        6.043        0.014         111.969    
beach                       20,579     2.042        2.386        0.000          13.477    
park                        20,579     0.428        0.318        0.000          3.560     
hospital                    20,579     4.156        4.049        0.010          20.927    
airport                     20,579     9.085        5.606        0.993          30.986    
elem_sch                    20,579     1.158        4.391        0.016         196.490    
mid_sch                     20,579     2.212        1.609        0.037          17.655    
high_sch                    20,579     2.177        1.541        0.034          17.655    
per_white                   20,579     0.244        0.175        0.000          0.850     
per_black                   20,579     0.021        0.034        0.000          0.261     
per_asian                   20,579     0.430        0.197        0.000          1.000     
per_hawaian                 20,579     0.070        0.102        0.000          0.695     
per_occupied                20,579     0.878        0.162        0.107          1.000     
per_vacant                  20,579     0.121        0.160        0.000          0.893     
per_owner                   20,579     0.659        0.207        0.000          1.000     
per_renter                  20,579     0.339        0.207        0.000          1.000     
HOA                         20,579    18.125       49.248          0            1,000     
Elevator                    20,579     0.707        1.496          0              23      
remod                       20,579     0.435        0.496          0              1       
lat                         20,579 2,361,396.000  7,689.523  2,350,907.000  2,400,056.000 
lon                         20,579  613,043.400  13,383.240   579,905.600    638,597.200  
PropertyTypeCondo_Townhouse 20,579     0.546        0.498          0              1       
PropertyTypeSingle Family   20,579     0.454        0.498          0              1       
StoriesOne                  20,579     0.332        0.471          0              1       
StoriesTwo                  20,579     0.342        0.475          0              1       
StoriesMulti                20,579     0.325        0.468          0              1       
year                        20,579   2,021.083      0.786        2,020          2,023     
LUCResidential              20,579     0.456        0.498          0              1       
LUCAgriculture              20,579     0.008        0.088          0              1       
